date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:48:50	21627/21627	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2008:18:48%20GMT	http://atechnologies.co.in/php-advance-course	D:/Student%20Trainning/atechnologies.co.in/php-advance-course.html	(from http://atechnologies.co.in/)
13:48:50	681/681	---M--	302	error ('Found')	text/html	date:Mon,%2002%20Sep%202019%2008:18:48%20GMT	http://atechnologies.co.in/faq	D:/Student%20Trainning/atechnologies.co.in/faq	(from http://atechnologies.co.in/)
13:48:51	96394/96394	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2002%20Sep%202019%2008:18:46%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	D:/Student%20Trainning/pagead2.googlesyndication.com/pagead/js/f.txt	(from http://atechnologies.co.in/)
13:48:51	681/681	---M--	302	error ('Found')	text/html	date:Mon,%2002%20Sep%202019%2008:18:49%20GMT	http://atechnologies.co.in/events	D:/Student%20Trainning/atechnologies.co.in/events	(from http://atechnologies.co.in/)
13:48:51	681/681	---M--	302	error ('Found')	text/html	date:Mon,%2002%20Sep%202019%2008:18:50%20GMT	http://atechnologies.co.in/index_coming_soon	D:/Student%20Trainning/atechnologies.co.in/index_coming_soon	(from http://atechnologies.co.in/)
13:48:52	20938/20938	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2008:18:50%20GMT	http://atechnologies.co.in/cyber-security-course	D:/Student%20Trainning/atechnologies.co.in/cyber-security-course.html	(from http://atechnologies.co.in/)
13:48:53	20348/20348	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2008:18:51%20GMT	http://atechnologies.co.in/cita-course	D:/Student%20Trainning/atechnologies.co.in/cita-course.html	(from http://atechnologies.co.in/)
13:48:53	20963/20963	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2008:18:51%20GMT	http://atechnologies.co.in/photography	D:/Student%20Trainning/atechnologies.co.in/photography.html	(from http://atechnologies.co.in/)
13:48:54	55489/55489	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2008:18:52%20GMT	http://atechnologies.co.in/register	D:/Student%20Trainning/atechnologies.co.in/register.html	(from http://atechnologies.co.in/)
13:48:54	30964/30964	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2008:18:53%20GMT	http://atechnologies.co.in/teacher-reg	D:/Student%20Trainning/atechnologies.co.in/teacher-reg.html	(from http://atechnologies.co.in/)
